Method,Threads,ArraySize,Run,Sum,Time_ms
reduce,1,10000000,1,495026639,22
reduce,1,10000000,2,495026639,23
reduce,1,10000000,3,495026639,24
reduce,1,10000000,4,495026639,84
reduce,1,10000000,5,495026639,26
reduce,2,10000000,1,495026639,18
reduce,2,10000000,2,495026639,16
reduce,2,10000000,3,495026639,22
reduce,2,10000000,4,495026639,16
reduce,2,10000000,5,495026639,15
reduce,4,10000000,1,495026639,5
reduce,4,10000000,2,495026639,6
reduce,4,10000000,3,495026639,6
reduce,4,10000000,4,495026639,6
reduce,4,10000000,5,495026639,7
reduce,8,10000000,1,495026639,5
reduce,8,10000000,2,495026639,5
reduce,8,10000000,3,495026639,6
reduce,8,10000000,4,495026639,5
reduce,8,10000000,5,495026639,6
